"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"fonctionnarisé";"fonctionnarisée";"fonctionnarisées";"fonctionnarisés";1;0;103109
"formalisé";"formalisée";"formalisées";"formalisés";1;0;103123
"forpaisé";"forpaisée";"forpaisées";"forpaisés";1;0;103129
"fossilisé";"fossilisée";"fossilisées";"fossilisés";1;0;103132
"fragilisé";"fragilisée";"fragilisées";"fragilisés";1;0;103158
"fraisé";"fraisée";"fraisées";"fraisés";1;0;103161
"framboisé";"framboisée";"framboisées";"framboisés";1;0;103162
"francisé";"francisée";"francisées";"francisés";1;0;103164
"francophonisé";"francophonisée";"francophonisées";"francophonisés";1;0;103165
"fraternisé";"fraternisée";"fraternisées";"fraternisés";1;0;103170
"frisé";"frisée";"frisées";"frisés";1;3;103192
"frisotté";"frisottée";"frisottées";"frisottés";1;0;103193
"fuselé";"fuselée";"fuselées";"fuselés";1;1;103217
"fusillé";"fusillée";"fusillées";"fusillés";1;0;103219
"fusionné";"fusionnée";"fusionnées";"fusionnés";1;0;103220
"gadgétisé";"gadgétisée";"gadgétisées";"gadgétisés";1;0;103226
"galantisé";"galantisée";"galantisées";"galantisés";1;0;103231
"galvanisé";"galvanisée";"galvanisées";"galvanisés";1;0;103238
"gargarisé";"gargarisée";"gargarisées";"gargarisés";1;0;103253
"gastrectomisé";"gastrectomisée";"gastrectomisées";"gastrectomisés";1;0;103261
"gazéifié";"gazéifiée";"gazéifiées";"gazéifiés";1;0;103270
"gazé";"gazée";"gazées";"gazés";1;0;103271
"gazonné";"gazonnée";"gazonnées";"gazonnés";1;0;103272
"gazouillé";"gazouillée";"gazouillées";"gazouillés";1;0;103273
"gélatinisé";"gélatinisée";"gélatinisées";"gélatinisés";1;0;103276
"généralisé";"généralisée";"généralisées";"généralisés";1;0;103284
"géométrisé";"géométrisée";"géométrisées";"géométrisés";1;0;103286
"germanisé";"germanisée";"germanisées";"germanisés";1;0;103290
"glaisé";"glaisée";"glaisées";"glaisés";1;0;103304
"globalisé";"globalisée";"globalisées";"globalisés";1;0;103314
"grammaticalisé";"grammaticalisée";"grammaticalisées";"grammaticalisés";1;0;103360
"grécisé";"grécisée";"grécisées";"grécisés";1;0;103377
"grésillé";"grésillée";"grésillées";"grésillés";1;0;103388
"grisaillé";"grisaillée";"grisaillées";"grisaillés";1;0;103406
"grisé";"grisée";"grisées";"grisés";1;0;103407
"grisolé";"grisolée";"grisolées";"grisolés";1;0;103408
"grisollé";"grisollée";"grisollées";"grisollés";1;0;103409
"grisonné";"grisonnée";"grisonnées";"grisonnés";1;0;103410
"grusiné";"grusinée";"grusinées";"grusinés";1;0;103424
"harmonisé";"harmonisée";"harmonisées";"harmonisés";1;0;103465
"hasardé";"hasardée";"hasardées";"hasardés";1;0;103470
"hébraisé";"hébraisée";"hébraisées";"hébraisés";1;0;103478
"hellénisé";"hellénisée";"hellénisées";"hellénisés";1;0;103481
"herborisé";"herborisée";"herborisées";"herborisés";1;0;103485
"hérolisé";"hérolisée";"hérolisées";"hérolisés";1;0;103490
"hésité";"hésitée";"hésitées";"hésités";1;0;103493
"hiérarchisé";"hiérarchisée";"hiérarchisées";"hiérarchisés";1;0;103496
"homogénéisé";"homogénéisée";"homogénéisées";"homogénéisés";1;0;103503
"hospitalisé";"hospitalisée";"hospitalisées";"hospitalisés";1;0;103513
"humanisé";"humanisée";"humanisées";"humanisés";1;0;103527
"hypnotisé";"hypnotisée";"hypnotisées";"hypnotisés";1;0;103539
"hypostasié";"hypostasiée";"hypostasiées";"hypostasiés";1;0;103540
"idéalisé";"idéalisée";"idéalisées";"idéalisés";1;0;103542
"idéologisé";"idéologisée";"idéologisées";"idéologisés";1;0;103544
"idiotisé";"idiotisée";"idiotisées";"idiotisés";1;0;103546
"illusionné";"illusionnée";"illusionnées";"illusionnés";1;0;103551
"immatérialisé";"immatérialisée";"immatérialisées";"immatérialisés";1;0;103558
"immobilisé";"immobilisée";"immobilisées";"immobilisés";1;0;103563
"immortalisé";"immortalisée";"immortalisées";"immortalisés";1;0;103565
"immunisé";"immunisée";"immunisées";"immunisés";1;0;103566
"impatronisé";"impatronisée";"impatronisées";"impatronisés";1;0;103570
"imperméabilisé";"imperméabilisée";"imperméabilisées";"imperméabilisés";1;0;103571
"imposé";"imposée";"imposées";"imposés";1;31;103580
"improvisé";"improvisée";"improvisées";"improvisés";1;0;103585
"incisé";"incisée";"incisées";"incisés";1;1;103595
"indemnisé";"indemnisée";"indemnisées";"indemnisés";1;0;103609
"indianisé";"indianisée";"indianisées";"indianisés";1;0;103611
"individualisé";"individualisée";"individualisées";"individualisés";1;3;103617
"industrialisé";"industrialisée";"industrialisées";"industrialisés";1;0;103621
"infantilisé";"infantilisée";"infantilisées";"infantilisés";1;0;103622
"infériorisé";"infériorisée";"infériorisées";"infériorisés";1;0;103627
"informatisé";"informatisée";"informatisées";"informatisés";1;0;103635
"initialisé";"initialisée";"initialisées";"initialisés";1;0;103644
"insensibilisé";"insensibilisée";"insensibilisées";"insensibilisés";1;0;103657
"insolubilisé";"insolubilisée";"insolubilisées";"insolubilisés";1;0;103662
"insonorisé";"insonorisée";"insonorisées";"insonorisés";1;3;103663
"institutionnalisé";"institutionnalisée";"institutionnalisées";"institutionnalisés";1;0;103671
"instrumentalisé";"instrumentalisée";"instrumentalisées";"instrumentalisés";1;0;103673
"intellectualisé";"intellectualisée";"intellectualisées";"intellectualisés";1;0;103681
"intériorisé";"intériorisée";"intériorisées";"intériorisés";1;0;103694
"internationalisé";"internationalisée";"internationalisées";"internationalisés";1;0;103698
"intronisé";"intronisée";"intronisées";"intronisés";1;0;103717
"ionisé";"ionisée";"ionisées";"ionisés";1;0;103733
"irisé";"irisée";"irisées";"irisés";1;2;103735
"ironisé";"ironisée";"ironisées";"ironisés";1;0;103736
"islamisé";"islamisée";"islamisées";"islamisés";1;0;103740
"isolé";"isolée";"isolées";"isolés";1;61;103741
"italianisé";"italianisée";"italianisées";"italianisés";1;0;103743
"japonisé";"japonisée";"japonisées";"japonisés";1;0;103755
"javellisé";"javellisée";"javellisées";"javellisés";1;0;103767
"joualisé";"joualisée";"joualisées";"joualisés";1;0;103780
"juxtaposé";"juxtaposée";"juxtaposées";"juxtaposés";1;2;103797
"kératinisé";"kératinisée";"kératinisées";"kératinisés";1;0;103798
"labellisé";"labellisée";"labellisées";"labellisés";1;0;103802
"labialisé";"labialisée";"labialisées";"labialisés";1;0;103803
"laïcisé";"laïcisée";"laïcisées";"laïcisés";1;0;103808
"laryngectomisé";"laryngectomisée";"laryngectomisées";"laryngectomisés";1;0;103834
"latinisé";"latinisée";"latinisées";"latinisés";1;0;103836
"légalisé";"légalisée";"légalisées";"légalisés";1;0;103841
"lemmatisé";"lemmatisée";"lemmatisées";"lemmatisés";1;0;103846
"lésiné";"lésinée";"lésinées";"lésinés";1;0;103849
"lexicalisé";"lexicalisée";"lexicalisées";"lexicalisés";1;0;103857
"lézardé";"lézardée";"lézardées";"lézardés";1;0;103858
"liaisonné";"liaisonnée";"liaisonnées";"liaisonnés";1;0;103859
"libéralisé";"libéralisée";"libéralisées";"libéralisés";1;0;103862
"limousiné";"limousinée";"limousinées";"limousinés";1;0;103880
"liséré";"lisérée";"lisérées";"lisérés";1;0;103886
"liseré";"liserée";"liserées";"liserés";1;1;103887
"lobotomisé";"lobotomisée";"lobotomisées";"lobotomisés";1;0;103895
"localisé";"localisée";"localisées";"localisés";1;9;103896
"lyophilisé";"lyophilisée";"lyophilisées";"lyophilisés";1;0;103930
"macadamisé";"macadamisée";"macadamisées";"macadamisés";1;0;103933
"madérisé";"madérisée";"madérisées";"madérisés";1;0;103946
"madrigalisé";"madrigalisée";"madrigalisées";"madrigalisés";1;0;103947
"magasiné";"magasinée";"magasinées";"magasinés";1;0;103949
"magnétisé";"magnétisée";"magnétisées";"magnétisés";1;0;103951
"magyarisé";"magyarisée";"magyarisées";"magyarisés";1;0;103955
"maîtrisé";"maîtrisée";"maîtrisées";"maîtrisés";1;0;103960
"malléabilisé";"malléabilisée";"malléabilisées";"malléabilisés";1;0;103963
"marginalisé";"marginalisée";"marginalisées";"marginalisés";1;0;104004
"marmorisé";"marmorisée";"marmorisées";"marmorisés";1;0;104013
"marotisé";"marotisée";"marotisées";"marotisés";1;0;104018
"marsupialisé";"marsupialisée";"marsupialisées";"marsupialisés";1;0;104025
"martyrisé";"martyrisée";"martyrisées";"martyrisés";1;0;104028
"marxisé";"marxisée";"marxisées";"marxisés";1;0;104029
"masculinisé";"masculinisée";"masculinisées";"masculinisés";1;0;104030
