"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"dialectisant";"dialectisante";"dialectisantes";"dialectisants";1;0;87141
"dialysant";"dialysante";"dialysantes";"dialysants";1;0;87143
"diésant";"diésante";"diésantes";"diésants";1;0;87148
"diffusant";"diffusante";"diffusantes";"diffusants";1;32;87156
"digitalisant";"digitalisante";"digitalisantes";"digitalisants";1;0;87158
"disant";"disante";"disantes";"disants";1;24;87172
"discrétisant";"discrétisante";"discrétisantes";"discrétisants";1;0;87182
"disposant";"disposante";"disposantes";"disposants";1;64;87195
"divinisant";"divinisante";"divinisantes";"divinisants";1;0;87221
"divisant";"divisante";"divisantes";"divisants";1;1;87222
"dogmatisant";"dogmatisante";"dogmatisantes";"dogmatisants";1;0;87228
"donjuanisant";"donjuanisante";"donjuanisantes";"donjuanisants";1;0;87235
"dosant";"dosante";"dosantes";"dosants";1;0;87241
"dramatisant";"dramatisante";"dramatisantes";"dramatisants";1;0;87254
"dynamisant";"dynamisante";"dynamisantes";"dynamisants";1;0;87276
"ébiselant";"ébiselante";"ébiselantes";"ébiselants";1;0;87285
"ébousant";"ébousante";"ébousantes";"ébousants";1;0;87295
"ébousinant";"ébousinante";"ébousinantes";"ébousinants";1;0;87296
"ébraisant";"ébraisante";"ébraisantes";"ébraisants";1;0;87298
"ébrasant";"ébrasante";"ébrasantes";"ébrasants";1;0;87301
"éclosant";"éclosante";"éclosantes";"éclosants";1;0;87350
"éclusant";"éclusante";"éclusantes";"éclusants";1;0;87351
"éconduisant";"éconduisante";"éconduisantes";"éconduisants";1;0;87354
"économisant";"économisante";"économisantes";"économisants";1;0;87355
"écrasant";"écrasante";"écrasantes";"écrasants";1;11;87371
"eczématisant";"eczématisante";"eczématisantes";"eczématisants";1;0;87386
"égalisant";"égalisante";"égalisantes";"égalisants";1;1;87418
"égrisant";"égrisante";"égrisantes";"égrisants";1;0;87429
"électrisant";"électrisante";"électrisantes";"électrisants";1;1;87443
"électrolysant";"électrolysante";"électrolysantes";"électrolysants";1;0;87445
"électronisant";"électronisante";"électronisantes";"électronisants";1;0;87446
"élisant";"élisante";"élisantes";"élisants";1;0;87454
"embourgeoisant";"embourgeoisante";"embourgeoisantes";"embourgeoisants";1;0;87502
"embrasant";"embrasante";"embrasantes";"embrasants";1;0;87509
"émerisant";"émerisante";"émerisantes";"émerisants";1;0;87527
