"forme";"féminin";"féminin_pluriel";"pluriel";"z";"indice";"Id"
"achevant";"achevante";"achevantes";"achevants";0;2;84718
"achoppant";"achoppante";"achoppantes";"achoppants";0;0;84719
"acidifiant";"acidifiante";"acidifiantes";"acidifiants";0;0;84721
"acidulant";"acidulante";"acidulantes";"acidulants";0;0;84722
"aciérant";"aciérante";"aciérantes";"aciérants";0;0;84723
"acquérant";"acquérante";"acquérantes";"acquérants";0;0;84725
"acquiesçant";"acquiesçante";"acquiesçantes";"acquiesçants";0;0;84726
"acquittant";"acquittante";"acquittantes";"acquittants";0;1;84727
"actant";"actante";"actantes";"actants";0;0;84728
"actionnant";"actionnante";"actionnantes";"actionnants";0;0;84729
"amaril";"amarile";"amariles";"amarils";0;10;45762
"ambiant";"ambiante";"ambiantes";"ambiants";0;9;45766
"ambigu";"ambiguë";"ambiguës";"ambigus";0;7;45768
"ambitieux";"ambitieuse";"ambitieuses";;0;122;45769
"ambivalent";"ambivalente";"ambivalentes";"ambivalents";0;3;45770
"ambulant";"ambulante";"ambulantes";"ambulants";0;5;45774
"amer";"amère";"amères";"amers";0;1;45778
"amibien";"amibienne";"amibiennes";"amibiens";0;0;45780
"amical";"amicale";"amicales";"amicaux";0;14;45782
"amidonnier";"amidonnière";"amidonnières";"amidonniers";0;0;45783
"amiral";"amirale";"amirales";"amiraux";0;3;45784
"ammoniacal";"ammoniacale";"ammoniacales";"ammoniacaux";0;0;45786
"amoral";"amorale";"amorales";"amoraux";0;0;45795
"amortisseur";"amortisseuse";"amortisseuses";"amortisseurs";0;1;45800
"amoureux";"amoureuse";"amoureuses";;0;2;45801
"amplectif";"amplective";"amplectives";"amplectifs";0;0;45808
"activant";"activante";"activantes";"activants";0;0;84730
"acylant";"acylante";"acylantes";"acylants";0;0;84732
"adaptant";"adaptante";"adaptantes";"adaptants";0;12;84733
"additionnant";"additionnante";"additionnantes";"additionnants";0;2;84734
"adhérant";"adhérante";"adhérantes";"adhérants";0;0;84735
"adjectivant";"adjectivante";"adjectivantes";"adjectivants";0;0;84736
"ampliatif";"ampliative";"ampliatives";"ampliatifs";0;0;45809
"amplificateur";"amplificatrice";"amplificatrices";"amplificateurs";0;6;45811
"ampoulé";"ampoulée";"ampoulées";"ampoulés";0;0;45812
"amylacé";"amylacée";"amylacées";"amylacés";0;0;45816
"américain";"américaine";"américaines";"américains";0;409;45820
"amérindien";"amérindienne";"amérindiennes";"amérindiens";0;0;45822
"anal";"anale";"anales";"anaux";0;3;45830
"ancestral";"ancestrale";"ancestrales";"ancestraux";0;5;45848
"ancien";"ancienne";"anciennes";"anciens";0;271;45849
"andalou";"andalouse";"andalouses";"andaloux";0;4;45851
"andin";"andine";"andines";"andins";0;3;45852
"adjoignant";"adjoignante";"adjoignantes";"adjoignants";0;0;84738
"adjugeant";"adjugeante";"adjugeantes";"adjugeants";0;0;84739
"adjurant";"adjurante";"adjurantes";"adjurants";0;0;84740
"admettant";"admettante";"admettantes";"admettants";0;9;84741
"administrant";"administrante";"administrantes";"administrants";0;0;84742
"angevin";"angevine";"angevines";"angevins";0;2;45860
"angineux";"angineuse";"angineuses";;0;2;45861
"anglais";"anglaise";"anglaises";;0;175;45862
"anglican";"anglicane";"anglicanes";"anglicans";0;10;45863
"angoumois";"angoumoise";"angoumoises";;0;0;45871
"anguleux";"anguleuse";"anguleuses";;0;4;45873
"animal";"animale";"animales";"animaux";0;4;45877
"annal";"annale";"annales";"annaux";0;0;45883
"annonciateur";"annonciatrice";"annonciatrices";"annonciateurs";0;3;45889
"annuel";"annuelle";"annuelles";"annuels";0;275;45890
"anodin";"anodine";"anodines";"anodins";0;7;45895
"anomal";"anomale";"anomales";"anomaux";0;0;45896
"anormal";"anormale";"anormales";"anormaux";0;5;45899
"ansé";"ansée";"ansées";"ansés";0;0;45901
"admirant";"admirante";"admirantes";"admirants";0;1;84743
"admonestant";"admonestante";"admonestantes";"admonestants";0;0;84744
"adonnant";"adonnante";"adonnantes";"adonnants";0;0;84746
"adoptant";"adoptante";"adoptantes";"adoptants";0;49;84747
"adorant";"adorante";"adorantes";"adorants";0;0;84748
"adossant";"adossante";"adossantes";"adossants";0;0;84749
"antiaérien";"antiaérienne";"antiaériennes";"antiaériens";0;0;45915
"anticlinal";"anticlinale";"anticlinales";"anticlinaux";0;0;45920
"anticlérical";"anticléricale";"anticléricales";"anticléricaux";0;1;45921
"anticoagulant";"anticoagulante";"anticoagulantes";"anticoagulants";0;2;45922
"anticonceptionnel";"anticonceptionnelle";"anticonceptionnelles";"anticonceptionnels";0;3;45924
"anticonstitutionnel";"anticonstitutionnelle";"anticonstitutionnelles";"anticonstitutionnels";0;1;45925
"anticyclonal";"anticyclonale";"anticyclonales";"anticyclonaux";0;0;45927
"antidérapant";"antidérapante";"antidérapantes";"antidérapants";0;0;45930
"antigouvernemental";"antigouvernementale";"antigouvernementales";"antigouvernementaux";0;0;45934
"antillais";"antillaise";"antillaises";;0;3;45935
"antinational";"antinationale";"antinationales";"antinationaux";0;0;45942
"antinaturel";"antinaturelle";"antinaturelles";"antinaturels";0;0;45943
"adoubant";"adoubante";"adoubantes";"adoubants";0;0;84750
"adoucissant";"adoucissante";"adoucissantes";"adoucissants";0;0;84751
"antirationnel";"antirationnelle";"antirationnelles";"antirationnels";0;0;45955
"antireligieux";"antireligieuse";"antireligieuses";;0;3;45956
"antirépublicain";"antirépublicaine";"antirépublicaines";"antirépublicains";0;0;45958
"antituberculeux";"antituberculeuse";"antituberculeuses";;0;3;45969
"antécédent";"antécédente";"antécédentes";"antécédents";0;6;45972
"antédiluvien";"antédiluvienne";"antédiluviennes";"antédiluviens";0;1;45973
"antérieur";"antérieure";"antérieures";"antérieurs";0;35;45975
"anversois";"anversoise";"anversoises";;0;0;45976
"anxieux";"anxieuse";"anxieuses";;0;9;45977
"aoûté";"aoûtée";"aoûtées";"aoûtés";0;0;45983
"aphteux";"aphteuse";"aphteuses";;0;0;45995
"processuel";"processuelle";"processuelles";"processuels";0;76;121057
"grand";"grande";"grandes";"grands";0;378;121058
"colégislateur";"colégislatrice";"colégislatrices";"colégislateurs";0;0;121062
"puisqu'il";"puisqu'elle";"puisqu'elles";"puisqu'ils";0;35;121064
"abrogatif";"abrogative";"abrogatives";"abrogatifs";0;0;121065
"accréditeur";"accréditrice";"accréditrices";"accréditeurs";0;0;121072
"afocal";"afocale";"afocales";"afocaux";0;0;121085
"abbatial";"abbatiale";"abbatiales";"abbatiaux";0;0;45385
"adextré";"adextrée";"adextrées";"adextrés";0;0;45536
"adhérent";"adhérente";"adhérentes";"adhérents";0;3;45537
"adipeux";"adipeuse";"adipeuses";;0;0;45540
"adjacent";"adjacente";"adjacentes";"adjacents";0;3;45542
"adjectif";"adjective";"adjectives";"adjectifs";0;22;45543
"adjectival";"adjectivale";"adjectivales";"adjectivaux";0;0;45544
"adjudicatif";"adjudicative";"adjudicatives";"adjudicatifs";0;0;45546
"administratif";"administrative";"administratives";"administratifs";0;256;45548
"admirateur";"admiratrice";"admiratrices";"admirateurs";0;17;45552
"admiratif";"admirative";"admiratives";"admiratifs";0;4;45553
"adnominal";"adnominale";"adnominales";"adnominaux";0;0;45555
"adné";"adnée";"adnées";"adnés";0;0;45556
"adolescent";"adolescente";"adolescentes";"adolescents";0;48;45557
"adoptif";"adoptive";"adoptives";"adoptifs";0;5;45559
"adoral";"adorale";"adorales";"adoraux";0;0;45562
"accouant";"accouante";"accouantes";"accouants";0;0;84670
"accouplant";"accouplante";"accouplantes";"accouplants";0;0;84671
"accourcissant";"accourcissante";"accourcissantes";"accourcissants";0;0;84672
"accourant";"accourante";"accourantes";"accourants";0;0;84673
"accoutrant";"accoutrante";"accoutrantes";"accoutrants";0;0;84674
"abstrayant";"abstrayante";"abstrayantes";"abstrayants";0;0;84675
"adroit";"adroite";"adroites";"adroits";0;4;45567
"adulateur";"adulatrice";"adulatrices";"adulateurs";0;0;45569
"adultérin";"adultérine";"adultérines";"adultérins";0;0;45572
"adventif";"adventive";"adventives";"adventifs";0;0;45574
"adverbial";"adverbiale";"adverbiales";"adverbiaux";0;0;45576
"adversatif";"adversative";"adversatives";"adversatifs";0;0;45577
"adéquat";"adéquate";"adéquates";"adéquats";0;15;45580
"affaiblisseur";"affaiblisseuse";"affaiblisseuses";"affaiblisseurs";0;0;45585
"affectif";"affective";"affectives";"affectifs";0;1;45589
"affectueux";"affectueuse";"affectueuses";;0;6;45591
"affidé";"affidée";"affidées";"affidés";0;0;45593
"affin";"affine";"affines";"affins";0;0;45595
"affirmatif";"affirmative";"affirmatives";"affirmatifs";0;2;45597
"affixal";"affixale";"affixales";"affixaux";0;0;45598
"afflictif";"afflictive";"afflictives";"afflictifs";0;4;45599
"affluent";"affluente";"affluentes";"affluents";0;1;45601
"affreux";"affreuse";"affreuses";;0;23;45605
"acagnardant";"acagnardante";"acagnardantes";"acagnardants";0;0;84677
"accablant";"accablante";"accablantes";"accablants";0;2;84678
"accaparant";"accaparante";"accaparantes";"accaparants";0;1;84679
"accastillant";"accastillante";"accastillantes";"accastillants";0;0;84680
"accédant";"accédante";"accédantes";"accédants";0;0;84681
"accélérant";"accélérante";"accélérantes";"accélérants";0;0;84682
"accentuant";"accentuante";"accentuantes";"accentuants";0;0;84683
"acceptant";"acceptante";"acceptantes";"acceptants";0;18;84684
"accidentant";"accidentante";"accidentantes";"accidentants";0;0;84687
"acclamant";"acclamante";"acclamantes";"acclamants";0;0;84688
"acclimatant";"acclimatante";"acclimatantes";"acclimatants";0;0;84689
"accointant";"accointante";"accointantes";"accointants";0;0;84690
"accolant";"accolante";"accolantes";"accolants";0;0;84691
"afférent";"afférente";"afférentes";"afférents";0;2;45609
"affûté";"affûtée";"affûtées";"affûtés";0;0;45611
"afghan";"afghane";"afghanes";"afghans";0;3;45612
"africain";"africaine";"africaines";"africains";0;10;45613
"agenais";"agenaise";"agenaises";;0;0;45617
"agrarien";"agrarienne";"agrariennes";"agrariens";0;0;45634
"agresseur";"agresseuse";"agresseuses";"agresseurs";0;3;45635
"agressif";"agressive";"agressives";"agressifs";0;2;45636
"agrégatif";"agrégative";"agrégatives";"agrégatifs";0;0;45641
"aguicheur";"aguicheuse";"aguicheuses";"aguicheurs";0;0;45645
"aigrelet";"aigrelette";"aigrelettes";"aigrelets";0;0;45650
"aigretté";"aigrettée";"aigrettées";"aigrettés";0;0;45651
"aigu";"aiguë";"aiguës";"aigus";0;35;45653
"accommodant";"accommodante";"accommodantes";"accommodants";0;1;84692
"accompagnant";"accompagnante";"accompagnantes";"accompagnants";0;58;84693
"accomplissant";"accomplissante";"accomplissantes";"accomplissants";0;2;84694
